time_s,thrust_N
-0.4336,3.6
-0.1822,3.6
0.0084,3.6
0.02,14460.699999999999
0.0316,16857.1
0.072,17250.0
0.1067,16189.3
0.2049,15010.7
0.4764,13871.4
0.8693,13125.0
1.2564,12614.3
1.8516,12535.7
2.5391,13125.0
2.8684,13596.4
3.1747,14146.4
3.3653,14617.900000000001
3.4809,14971.4
3.5502,15050.0
3.6253,14735.699999999999
3.712,13596.4
3.7871,12339.3
3.8853,9667.9
3.9951,7428.6
4.1049,6092.900000000001
4.3591,3657.1
4.648,1850.0
4.9831,592.9
5.2027,278.6
5.376,82.10000000000001
5.4684,3.6
5.5522,-35.7
