# MELprop-IADE ramP -- fin polar comparison: Ackeret (2D thin supersonic) vs. Diederich AVL-style analytic surrogate
# Fin planform: exposed span=0.6685 m, root chord=0.1768 m, tip chord=0.1768 m, sweep_LE=0.0 deg -> AR_eff=7.5622
# t/c=0.050 SZACOWANY (double-wedge, wave-drag-optimised estimate; distinct from xfoil_runner.py's t/c~0.17 structural estimate)
# ratio = CL_alpha_diederich / CL_alpha_ackeret (alpha-independent by construction; see fin_polar_row() docstring)
# 24/30 rows flagged non-OK
mach,alpha_deg,CL_ackeret,CD_ackeret,CL_avl_surrogate,ratio,flag
1.5000,0.0000,0.000000,0.008944,0.000000,0.785482,OK
1.5000,2.0000,0.124886,0.013304,0.098095,0.785482,OK
1.5000,4.0000,0.249771,0.026382,0.196191,0.785482,OK
1.5000,6.0000,0.374657,0.048178,0.294286,0.785482,OK
1.5000,8.0000,0.499542,0.078694,0.392382,0.785482,OK
1.5000,10.0000,0.624428,0.117928,0.490477,0.785482,OK
2.0000,0.0000,0.000000,0.005774,0.000000,1.565631,RATIO_HIGH
2.0000,2.0000,0.080613,0.008587,0.126211,1.565631,RATIO_HIGH
2.0000,4.0000,0.161227,0.017029,0.252421,1.565631,RATIO_HIGH
2.0000,6.0000,0.241840,0.031099,0.378632,1.565631,RATIO_HIGH
2.0000,8.0000,0.322453,0.050796,0.504843,1.565631,RATIO_HIGH
2.0000,10.0000,0.403067,0.076122,0.631053,1.565631,RATIO_HIGH
2.5000,0.0000,0.000000,0.004364,0.000000,2.373454,RATIO_HIGH
2.5000,2.0000,0.060938,0.006491,0.144633,2.373454,RATIO_HIGH
2.5000,4.0000,0.121876,0.012873,0.289267,2.373454,RATIO_HIGH
2.5000,6.0000,0.182814,0.023509,0.433900,2.373454,RATIO_HIGH
2.5000,8.0000,0.243752,0.038399,0.578534,2.373454,RATIO_HIGH
2.5000,10.0000,0.304690,0.057543,0.723167,2.373454,RATIO_HIGH
3.0000,0.0000,0.000000,0.003536,0.000000,3.205021,RATIO_HIGH
3.0000,2.0000,0.049365,0.005259,0.158217,3.205021,RATIO_HIGH
3.0000,4.0000,0.098731,0.010428,0.316434,3.205021,RATIO_HIGH
3.0000,6.0000,0.148096,0.019044,0.474651,3.205021,RATIO_HIGH
3.0000,8.0000,0.197461,0.031106,0.632868,3.205021,RATIO_HIGH
3.0000,10.0000,0.246827,0.046615,0.791085,3.205021,RATIO_HIGH
3.5000,0.0000,0.000000,0.002981,0.000000,4.055316,RATIO_HIGH
3.5000,2.0000,0.041629,0.004435,0.168817,4.055316,RATIO_HIGH
3.5000,4.0000,0.083257,0.008794,0.337634,4.055316,RATIO_HIGH
3.5000,6.0000,0.124886,0.016059,0.506450,4.055316,RATIO_HIGH
3.5000,8.0000,0.166514,0.026231,0.675267,4.055316,RATIO_HIGH
3.5000,10.0000,0.208143,0.039309,0.844084,4.055316,RATIO_HIGH
