x_mm,vol_tag,area_mm2,n_loops,outer_r_eq_mm,outer_bbox_r_mm,has_inner_loop,inner_area_mm2,inner_r_eq_mm
200,1,16979.42096270293,1,73.51678416596198,72.02120577810479,False,0.0,0.0
200,2,2820.1896086248817,2,29.96154591035141,112.76943430928583,True,36986.56671186211,108.50433097522887
500,1,11947.928991633562,1,61.66963529532903,77.81008815905297,False,0.0,0.0
500,2,14009.403014438387,2,66.77822608477061,123.50433003096663,True,34261.01642956043,104.42997768952344
1000,1,3019.0705400997913,1,31.0,30.995026233582966,False,0.0,0.0
1000,2,11497.605936283173,2,60.496294406883905,123.50013003160701,True,36741.51180620254,108.14428529170061
2000,2,2393.893602034048,2,27.604347483676598,68.00001096952332,True,11520.76988400751,60.557203952362876
3000,2,12667.686977437404,1,63.4999999999999,65.00001147557785,False,0.0,0.0
4000,2,23956.994534534086,1,87.32553007908535,296.53454406086854,False,0.0,0.0
4300,2,20023.915099787453,1,79.8361455505414,296.54976149803645,False,0.0,0.0
