mach,altitude_m,eta_d,Th2_N,drag_N,net_thrust_N,status
1.5,0.0,0.9705780963288718,18466.67177113147,2741.795842785523,15724.875928345948,SUSTAINED
1.5,2000.0,0.9705780963288718,15128.226448052788,2151.088926003891,12977.137522048897,SUSTAINED
1.5,4000.0,0.9705780963288718,12262.861988416993,1667.940211618156,10594.921776798838,SUSTAINED
1.5,6000.0,0.9705780963288718,9825.167716156842,1276.680849426403,8548.48686673044,SUSTAINED
1.5,8000.0,0.9705780963288718,7771.371593435897,963.299504729573,6808.072088706324,SUSTAINED
1.5,10000.0,0.9705780963288718,6059.52639490464,715.3398108959,5344.18658400874,SUSTAINED
2.0,0.0,0.925,27729.04475008459,4874.303720507595,22854.741029576995,SUSTAINED
2.0,2000.0,0.925,22803.16864555494,3824.158090673583,18979.010554881355,SUSTAINED
2.0,4000.0,0.925,18553.370273353063,2965.2270428767215,15588.14323047634,SUSTAINED
2.0,6000.0,0.925,14919.70159233396,2269.6548434247165,12650.046748909244,SUSTAINED
2.0,8000.0,0.925,11843.359978393093,1712.5324528525744,10130.827525540519,SUSTAINED
2.0,10000.0,0.925,9267.090709561795,1271.7152193704887,7995.375490191306,SUSTAINED
2.5,0.0,0.8703464349004131,34906.726407298265,7616.099563293117,27290.62684400515,SUSTAINED
2.5,2000.0,0.8703464349004131,28876.040074004806,5975.247016677474,22900.793057327333,SUSTAINED
2.5,4000.0,0.8703464349004131,23629.36465579707,4633.167254494877,18996.197401302194,SUSTAINED
2.5,6000.0,0.8703464349004131,19107.352487726544,3546.3356928511203,15561.016794875424,SUSTAINED
2.5,8000.0,0.8703464349004131,15249.524950203102,2675.8319575821474,12573.692992620954,SUSTAINED
2.5,10000.0,0.8703464349004131,11995.019677873825,1987.0550302663883,10007.964647607436,SUSTAINED
3.0,0.0,0.8088159059021107,39022.25600375849,10967.183371142091,28055.0726326164,SUSTAINED
3.0,2000.0,0.8088159059021107,32564.018591975837,8604.355704015565,23959.662887960272,SUSTAINED
3.0,4000.0,0.8088159059021107,26870.53581857917,6671.760846472624,20198.77497210655,SUSTAINED
3.0,6000.0,0.8088159059021107,21902.311812071675,5106.723397705612,16795.588414366062,SUSTAINED
3.0,8000.0,0.8088159059021107,17614.298623140603,3853.198018918292,13761.10060422231,SUSTAINED
3.0,10000.0,0.8088159059021107,13957.132772919753,2861.3592435836,11095.773529336153,SUSTAINED
3.5,0.0,0.7416072791138517,39535.00367395865,14927.55514405451,24607.44852990414,SUSTAINED
3.5,2000.0,0.7416072791138517,33435.02529271066,11711.48415268785,21723.54114002281,SUSTAINED
3.5,4000.0,0.7416072791138517,27935.21826538672,9081.007818809958,18854.210446576762,SUSTAINED
3.5,6000.0,0.7416072791138517,23037.55919598281,6950.817957988195,16086.741237994614,SUSTAINED
3.5,8000.0,0.7416072791138517,18731.690353907386,5244.6306368610085,13487.059717046377,SUSTAINED
3.5,10000.0,0.7416072791138517,14996.800931124595,3894.6278593221214,11102.173071802474,SUSTAINED
