mach,cg_m,cn_alpha_body,cn_alpha_fins,cn_alpha_total,x_cp_m,static_margin_cal,regime_flag
0.50,1.4000,3.554975,0.000000,3.554975,1.101909,-1.490453,OUT_OF_METHOD_REGIME
0.50,1.4500,3.554975,0.000000,3.554975,1.101909,-1.740453,OUT_OF_METHOD_REGIME
0.50,1.5000,3.554975,0.000000,3.554975,1.101909,-1.990453,OUT_OF_METHOD_REGIME
0.50,1.5500,3.554975,0.000000,3.554975,1.101909,-2.240453,OUT_OF_METHOD_REGIME
0.50,1.6000,3.554975,0.000000,3.554975,1.101909,-2.490453,OUT_OF_METHOD_REGIME
0.50,1.6500,3.554975,0.000000,3.554975,1.101909,-2.740453,OUT_OF_METHOD_REGIME
0.50,1.7000,3.554975,0.000000,3.554975,1.101909,-2.990453,OUT_OF_METHOD_REGIME
0.50,1.7500,3.554975,0.000000,3.554975,1.101909,-3.240453,OUT_OF_METHOD_REGIME
0.50,1.8000,3.554975,0.000000,3.554975,1.101909,-3.490453,OUT_OF_METHOD_REGIME
0.50,1.8500,3.554975,0.000000,3.554975,1.101909,-3.740453,OUT_OF_METHOD_REGIME
0.50,1.9000,3.554975,0.000000,3.554975,1.101909,-3.990453,OUT_OF_METHOD_REGIME
0.50,1.9500,3.554975,0.000000,3.554975,1.101909,-4.240453,OUT_OF_METHOD_REGIME
0.50,2.0000,3.554975,0.000000,3.554975,1.101909,-4.490453,OUT_OF_METHOD_REGIME
0.50,2.0500,3.554975,0.000000,3.554975,1.101909,-4.740453,OUT_OF_METHOD_REGIME
0.50,2.1000,3.554975,0.000000,3.554975,1.101909,-4.990453,OUT_OF_METHOD_REGIME
0.50,2.1500,3.554975,0.000000,3.554975,1.101909,-5.240453,OUT_OF_METHOD_REGIME
0.50,2.2000,3.554975,0.000000,3.554975,1.101909,-5.490453,OUT_OF_METHOD_REGIME
0.80,1.4000,3.554975,0.000000,3.554975,1.101909,-1.490453,OUT_OF_METHOD_REGIME
0.80,1.4500,3.554975,0.000000,3.554975,1.101909,-1.740453,OUT_OF_METHOD_REGIME
0.80,1.5000,3.554975,0.000000,3.554975,1.101909,-1.990453,OUT_OF_METHOD_REGIME
0.80,1.5500,3.554975,0.000000,3.554975,1.101909,-2.240453,OUT_OF_METHOD_REGIME
0.80,1.6000,3.554975,0.000000,3.554975,1.101909,-2.490453,OUT_OF_METHOD_REGIME
0.80,1.6500,3.554975,0.000000,3.554975,1.101909,-2.740453,OUT_OF_METHOD_REGIME
0.80,1.7000,3.554975,0.000000,3.554975,1.101909,-2.990453,OUT_OF_METHOD_REGIME
0.80,1.7500,3.554975,0.000000,3.554975,1.101909,-3.240453,OUT_OF_METHOD_REGIME
0.80,1.8000,3.554975,0.000000,3.554975,1.101909,-3.490453,OUT_OF_METHOD_REGIME
0.80,1.8500,3.554975,0.000000,3.554975,1.101909,-3.740453,OUT_OF_METHOD_REGIME
0.80,1.9000,3.554975,0.000000,3.554975,1.101909,-3.990453,OUT_OF_METHOD_REGIME
0.80,1.9500,3.554975,0.000000,3.554975,1.101909,-4.240453,OUT_OF_METHOD_REGIME
0.80,2.0000,3.554975,0.000000,3.554975,1.101909,-4.490453,OUT_OF_METHOD_REGIME
0.80,2.0500,3.554975,0.000000,3.554975,1.101909,-4.740453,OUT_OF_METHOD_REGIME
0.80,2.1000,3.554975,0.000000,3.554975,1.101909,-4.990453,OUT_OF_METHOD_REGIME
0.80,2.1500,3.554975,0.000000,3.554975,1.101909,-5.240453,OUT_OF_METHOD_REGIME
