mach,cg_frac,cg_from_nose_m,cn_alpha_total,x_cp_m,static_margin_cal,stable_bool,regime_flag
0.5,0.37,1.6113537,2.0,0.26097916666666665,-6.751872666666667,False,SUBSONIC_OUT_OF_METHOD_REGIME
0.5,0.45,1.9597545,2.0,0.26097916666666665,-8.493876666666665,False,SUBSONIC_OUT_OF_METHOD_REGIME
0.5,0.55,2.3952555,2.0,0.26097916666666665,-10.671381666666667,False,SUBSONIC_OUT_OF_METHOD_REGIME
0.5,0.64,2.7872064,2.0,0.26097916666666665,-12.631136166666668,False,SUBSONIC_OUT_OF_METHOD_REGIME
1.0,0.37,1.6113537,2.0,0.26097916666666665,-6.751872666666667,False,SUBSONIC_OUT_OF_METHOD_REGIME
1.0,0.45,1.9597545,2.0,0.26097916666666665,-8.493876666666665,False,SUBSONIC_OUT_OF_METHOD_REGIME
1.0,0.55,2.3952555,2.0,0.26097916666666665,-10.671381666666667,False,SUBSONIC_OUT_OF_METHOD_REGIME
1.0,0.64,2.7872064,2.0,0.26097916666666665,-12.631136166666668,False,SUBSONIC_OUT_OF_METHOD_REGIME
1.5,0.37,1.6113537,23.881347534220556,4.076506355810726,12.325763279053628,True,SUPERSONIC_REGIME
1.5,0.45,1.9597545,23.881347534220556,4.076506355810726,10.58375927905363,True,SUPERSONIC_REGIME
1.5,0.55,2.3952555,23.881347534220556,4.076506355810726,8.406254279053629,True,SUPERSONIC_REGIME
1.5,0.64,2.7872064,23.881347534220556,4.076506355810726,6.446499779053629,True,SUPERSONIC_REGIME
2.0,0.37,1.6113537,16.965021040757616,3.934328628363502,11.61487464181751,True,SUPERSONIC_REGIME
2.0,0.45,1.9597545,16.965021040757616,3.934328628363502,9.872870641817508,True,SUPERSONIC_REGIME
2.0,0.55,2.3952555,16.965021040757616,3.934328628363502,7.695365641817508,True,SUPERSONIC_REGIME
2.0,0.64,2.7872064,16.965021040757616,3.934328628363502,5.735611141817509,True,SUPERSONIC_REGIME
2.5,0.37,1.6113537,13.594914595526847,3.8126310195103055,11.006386597551527,True,SUPERSONIC_REGIME
2.5,0.45,1.9597545,13.594914595526847,3.8126310195103055,9.264382597551526,True,SUPERSONIC_REGIME
2.5,0.55,2.3952555,13.594914595526847,3.8126310195103055,7.086877597551526,True,SUPERSONIC_REGIME
2.5,0.64,2.7872064,13.594914595526847,3.8126310195103055,5.127123097551527,True,SUPERSONIC_REGIME
3.0,0.37,1.6113537,11.527521750934326,3.702760826379287,10.457035631896433,True,SUPERSONIC_REGIME
3.0,0.45,1.9597545,11.527521750934326,3.702760826379287,8.715031631896434,True,SUPERSONIC_REGIME
3.0,0.55,2.3952555,11.527521750934326,3.702760826379287,6.537526631896433,True,SUPERSONIC_REGIME
3.0,0.64,2.7872064,11.527521750934326,3.702760826379287,4.577772131896434,True,SUPERSONIC_REGIME
